1号记录仪温湿度记录表
序号,时间(单位:秒),温度(单位:℃),湿度(单位:RH%)
301,2021-4-30 8:0:0,21.7,48.4
302,2021-4-30 8:5:0,21.7,48.4
303,2021-4-30 8:10:0,21.6,48.5
304,2021-4-30 8:15:0,21.7,48.6
305,2021-4-30 8:20:0,21.7,48.7
306,2021-4-30 8:25:0,21.7,48.8
307,2021-4-30 8:30:0,21.6,48.9
308,2021-4-30 8:35:0,21.6,48.9
309,2021-4-30 8:40:0,21.6,48.9
310,2021-4-30 8:45:0,21.6,48.9
311,2021-4-30 8:50:0,21.6,48.6
312,2021-4-30 8:55:0,21.8,47.5
313,2021-4-30 9:0:0,22.2,45.8
314,2021-4-30 9:5:0,22.7,59.6
315,2021-4-30 9:10:0,23.1,53
316,2021-4-30 9:15:0,23.4,49.7
317,2021-4-30 9:20:0,23.6,47.7
318,2021-4-30 9:25:0,23.7,46.8
319,2021-4-30 9:30:0,23.8,45.8
320,2021-4-30 9:35:0,24,51
321,2021-4-30 9:40:0,24.1,49.4
322,2021-4-30 9:45:0,24.2,48.2
323,2021-4-30 9:50:0,24.3,47.6
324,2021-4-30 9:55:0,24.3,47.4
325,2021-4-30 10:0:0,24.4,47
326,2021-4-30 10:5:0,24.5,46.5
327,2021-4-30 10:10:0,24.5,46.2
328,2021-4-30 10:15:0,24.6,46.1
329,2021-4-30 10:20:0,24.7,46.1
330,2021-4-30 10:25:0,24.7,46.7
331,2021-4-30 10:30:0,24.8,46.6
332,2021-4-30 10:35:0,24.8,46.8
333,2021-4-30 10:40:0,24.9,47
334,2021-4-30 10:45:0,24.9,46.9
335,2021-4-30 10:50:0,24.8,46.6
336,2021-4-30 10:55:0,24.8,46.5
337,2021-4-30 11:0:0,24.8,46.2
338,2021-4-30 11:5:0,24.8,46.1
339,2021-4-30 11:10:0,24.8,46.4
340,2021-4-30 11:15:0,24.8,46.7
341,2021-4-30 11:20:0,24.9,46.7
342,2021-4-30 11:25:0,24.8,46.7
343,2021-4-30 11:30:0,24.9,46.2
344,2021-4-30 11:32:39,24,41.4
