1号记录仪温湿度记录表
序号,时间(单位:秒),温度(单位:℃),湿度(单位:RH%)
1,2021-4-29 7:0:0,21.1,44.2
2,2021-4-29 7:5:0,21.1,44.1
3,2021-4-29 7:10:0,21.1,43.7
4,2021-4-29 7:15:0,21.3,43.2
5,2021-4-29 7:20:0,22,48.8
6,2021-4-29 7:25:0,22.7,46.7
7,2021-4-29 7:30:0,23.3,45.6
8,2021-4-29 7:35:0,23.8,54.6
9,2021-4-29 7:40:0,24,51.1
10,2021-4-29 7:45:0,24.1,49.1
11,2021-4-29 7:50:0,24.3,48.2
12,2021-4-29 7:55:0,24.3,47.5
13,2021-4-29 8:0:0,24.4,47.1
14,2021-4-29 8:5:0,24.4,46.9
15,2021-4-29 8:10:0,24.4,46.6
16,2021-4-29 8:15:0,24.4,46.6
17,2021-4-29 8:20:0,24.5,45.9
18,2021-4-29 8:25:0,24.5,45.5
19,2021-4-29 8:30:0,24.6,45.2
20,2021-4-29 8:35:0,24.7,44.6
21,2021-4-29 8:40:0,24.7,45.2
22,2021-4-29 8:45:0,24.7,45.1
23,2021-4-29 8:50:0,24.7,45.2
24,2021-4-29 8:55:0,24.7,45.2
25,2021-4-29 9:0:0,24.7,45.1
26,2021-4-29 9:5:0,24.9,47.9
27,2021-4-29 9:10:0,25.1,46.7
28,2021-4-29 9:15:0,25.2,46.9
29,2021-4-29 9:20:0,25.3,46.8
30,2021-4-29 9:25:0,25.4,47.1
31,2021-4-29 9:30:0,25.4,47
32,2021-4-29 9:35:0,25.4,47.3
33,2021-4-29 9:40:0,25.4,47.3
34,2021-4-29 9:45:0,25.5,46.6
35,2021-4-29 9:50:0,25.5,46
36,2021-4-29 9:55:0,25.5,45.4
37,2021-4-29 10:0:0,25.4,45.3
38,2021-4-29 10:5:0,25.5,44.9
39,2021-4-29 10:10:0,25.4,45.1
40,2021-4-29 10:15:0,25.4,45.3
41,2021-4-29 10:20:0,25.4,46.4
42,2021-4-29 10:25:0,25.3,46.6
43,2021-4-29 10:30:0,25.3,46.4
44,2021-4-29 10:35:0,25.2,46.5
45,2021-4-29 10:40:0,25.2,46.3
46,2021-4-29 10:45:0,25.2,46.1
47,2021-4-29 10:50:0,25.1,46.3
48,2021-4-29 10:55:0,25.1,45.8
49,2021-4-29 11:0:0,25.1,44.8
50,2021-4-29 11:5:0,25,44.2
51,2021-4-29 11:10:0,25,43.9
52,2021-4-29 11:15:0,25,43.7
53,2021-4-29 11:20:0,25,43.4
54,2021-4-29 11:25:0,25,43.5
55,2021-4-29 11:30:0,25,44.3
56,2021-4-29 11:35:0,25.2,44.7
57,2021-4-29 11:40:0,25.1,44.7
58,2021-4-29 11:45:0,25.1,44.9
59,2021-4-29 11:50:0,25.2,45.1
60,2021-4-29 11:55:0,25.3,45.1
61,2021-4-29 12:0:0,25.3,45
62,2021-4-29 12:5:0,25.3,44.6
63,2021-4-29 12:10:0,25.2,44.5
64,2021-4-29 12:15:0,25.2,43.6
65,2021-4-29 12:20:0,25.1,43.1
66,2021-4-29 12:25:0,25.1,43
67,2021-4-29 12:30:0,25.1,43.2
68,2021-4-29 12:35:0,25.1,42.8
69,2021-4-29 12:40:0,25.1,42.6
70,2021-4-29 12:45:0,25.1,48.3
71,2021-4-29 12:50:0,25.1,47.1
72,2021-4-29 12:55:0,25.1,45.5
73,2021-4-29 13:0:0,25.1,44.5
74,2021-4-29 13:5:0,25,43.8
75,2021-4-29 13:10:0,25,43.3
76,2021-4-29 13:15:0,25,42.9
77,2021-4-29 13:20:0,25,42.8
78,2021-4-29 13:25:0,25.1,47.2
79,2021-4-29 13:30:0,25,45.1
80,2021-4-29 13:35:0,25,43.7
81,2021-4-29 13:40:0,25,43.2
82,2021-4-29 13:45:0,25,42.7
83,2021-4-29 13:50:0,25,42.4
84,2021-4-29 13:55:0,25,48.4
85,2021-4-29 14:0:0,25.1,47
86,2021-4-29 14:5:0,25.2,46
87,2021-4-29 14:10:0,25.2,45.6
88,2021-4-29 14:15:0,25.2,45.1
89,2021-4-29 14:20:0,25.3,44.4
90,2021-4-29 14:25:0,25.3,43.9
91,2021-4-29 14:30:0,25.3,43.6
92,2021-4-29 14:35:0,25.3,45.2
93,2021-4-29 14:40:0,25.3,43.7
94,2021-4-29 14:45:0,25.2,43.3
95,2021-4-29 14:50:0,25.2,43.1
96,2021-4-29 14:55:0,25.2,44.6
97,2021-4-29 15:0:0,25.2,46.8
98,2021-4-29 15:5:0,25.2,45.3
99,2021-4-29 15:10:0,25.1,44.5
100,2021-4-29 15:15:0,25.1,44
101,2021-4-29 15:20:0,25.1,43.6
102,2021-4-29 15:25:0,25,42.8
103,2021-4-29 15:30:0,25.1,48.9
104,2021-4-29 15:35:0,25.1,45.9
105,2021-4-29 15:40:0,25.1,44.5
106,2021-4-29 15:45:0,25.1,43.1
107,2021-4-29 15:50:0,25.1,44.6
108,2021-4-29 15:55:0,25.4,46.3
109,2021-4-29 16:0:0,25.4,45
110,2021-4-29 16:5:0,25.4,44.1
111,2021-4-29 16:10:0,25.4,43.8
112,2021-4-29 16:15:0,25.5,43.4
113,2021-4-29 16:20:0,25.5,43.6
114,2021-4-29 16:25:0,25.5,43.4
115,2021-4-29 16:30:0,25.5,43.7
116,2021-4-29 16:35:0,25.5,43.4
117,2021-4-29 16:40:0,25.4,43.3
118,2021-4-29 16:45:0,25.4,43.2
119,2021-4-29 16:50:0,25.4,43.1
120,2021-4-29 16:55:0,25.5,43.1
121,2021-4-29 17:0:0,25.5,43.3
122,2021-4-29 17:5:0,25.5,42.9
123,2021-4-29 17:10:0,25.5,42.8
124,2021-4-29 17:15:0,25.4,42.1
125,2021-4-29 17:20:0,25.3,45.8
126,2021-4-29 17:25:0,25.3,46.8
127,2021-4-29 17:30:0,25.2,45.1
128,2021-4-29 17:35:0,25.2,44.1
129,2021-4-29 17:40:0,25.2,43.4
130,2021-4-29 17:45:0,25.2,48.8
131,2021-4-29 17:50:0,25,46.9
132,2021-4-29 17:55:0,24.6,45.2
133,2021-4-29 18:0:0,24,44.9
134,2021-4-29 18:5:0,23.4,45.1
135,2021-4-29 18:10:0,22.8,45.4
136,2021-4-29 18:15:0,22.3,45.8
137,2021-4-29 18:20:0,22,45.9
138,2021-4-29 18:25:0,21.8,45.6
139,2021-4-29 18:30:0,21.7,45.5
140,2021-4-29 18:35:0,21.6,45
141,2021-4-29 18:40:0,21.4,44.6
142,2021-4-29 18:45:0,21.3,44.6
143,2021-4-29 18:50:0,21.4,44.6
144,2021-4-29 18:55:0,21.5,44.5
145,2021-4-29 19:0:0,21.5,44.4
146,2021-4-29 19:5:0,21.6,44.3
147,2021-4-29 19:10:0,21.7,44.3
148,2021-4-29 19:15:0,21.7,44.3
149,2021-4-29 19:20:0,21.8,44.2
150,2021-4-29 19:25:0,21.8,44.3
151,2021-4-29 19:30:0,21.9,44.3
152,2021-4-29 19:35:0,21.9,44.2
153,2021-4-29 19:40:0,21.9,44.3
154,2021-4-29 19:45:0,22,44.3
155,2021-4-29 19:50:0,22,44.3
156,2021-4-29 19:55:0,22,44.3
157,2021-4-29 20:0:0,22.1,44.3
158,2021-4-29 20:5:0,22.1,44.3
159,2021-4-29 20:10:0,22.1,44.4
160,2021-4-29 20:15:0,22.1,44.5
161,2021-4-29 20:20:0,22.2,44.5
162,2021-4-29 20:25:0,22.2,44.6
163,2021-4-29 20:30:0,22.2,44.6
164,2021-4-29 20:35:0,22.2,44.7
165,2021-4-29 20:40:0,22.2,44.8
166,2021-4-29 20:45:0,22.2,44.9
167,2021-4-29 20:50:0,22.3,44.9
168,2021-4-29 20:55:0,22.3,45
169,2021-4-29 21:0:0,22.3,45
170,2021-4-29 21:5:0,22.3,45.1
171,2021-4-29 21:10:0,22.3,45.1
172,2021-4-29 21:15:0,22.3,45.1
173,2021-4-29 21:20:0,22.3,45.1
174,2021-4-29 21:25:0,22.3,45.2
175,2021-4-29 21:30:0,22.3,45.2
176,2021-4-29 21:35:0,22.3,45.3
177,2021-4-29 21:40:0,22.3,45.3
178,2021-4-29 21:45:0,22.3,45.3
179,2021-4-29 21:50:0,22.3,45.4
180,2021-4-29 21:55:0,22.4,45.4
181,2021-4-29 22:0:0,22.4,45.5
182,2021-4-29 22:5:0,22.4,45.5
183,2021-4-29 22:10:0,22.4,45.6
184,2021-4-29 22:15:0,22.4,45.6
185,2021-4-29 22:20:0,22.4,45.6
186,2021-4-29 22:25:0,22.4,45.6
187,2021-4-29 22:30:0,22.4,45.6
188,2021-4-29 22:35:0,22.4,45.7
189,2021-4-29 22:40:0,22.4,45.7
190,2021-4-29 22:45:0,22.4,45.7
191,2021-4-29 22:50:0,22.3,45.7
192,2021-4-29 22:55:0,22.3,45.7
193,2021-4-29 23:0:0,22.3,45.8
194,2021-4-29 23:5:0,22.3,45.8
195,2021-4-29 23:10:0,22.3,45.8
196,2021-4-29 23:15:0,22.3,45.8
197,2021-4-29 23:20:0,22.3,45.9
198,2021-4-29 23:25:0,22.3,45.9
199,2021-4-29 23:30:0,22.3,45.9
200,2021-4-29 23:35:0,22.3,45.9
201,2021-4-29 23:40:0,22.3,45.9
202,2021-4-29 23:45:0,22.3,45.9
203,2021-4-29 23:50:0,22.3,45.9
204,2021-4-29 23:55:0,22.3,45.9
205,2021-4-30 0:0:0,22.3,45.9
206,2021-4-30 0:5:0,22.3,45.9
207,2021-4-30 0:10:0,22.3,45.9
208,2021-4-30 0:15:0,22.3,46
209,2021-4-30 0:20:0,22.3,46
210,2021-4-30 0:25:0,22.3,46
211,2021-4-30 0:30:0,22.3,46.1
212,2021-4-30 0:35:0,22.2,46.1
213,2021-4-30 0:40:0,22.2,46.1
214,2021-4-30 0:45:0,22.2,46.2
215,2021-4-30 0:50:0,22.2,46.2
216,2021-4-30 0:55:0,22.2,46.2
217,2021-4-30 1:0:0,22.2,46.3
218,2021-4-30 1:5:0,22.2,46.4
219,2021-4-30 1:10:0,22.2,46.4
220,2021-4-30 1:15:0,22.2,46.4
221,2021-4-30 1:20:0,22.2,46.5
222,2021-4-30 1:25:0,22.2,46.5
223,2021-4-30 1:30:0,22.2,46.6
224,2021-4-30 1:35:0,22.2,46.6
225,2021-4-30 1:40:0,22.1,46.6
226,2021-4-30 1:45:0,22.1,46.7
227,2021-4-30 1:50:0,22.1,46.7
228,2021-4-30 1:55:0,22.1,46.7
229,2021-4-30 2:0:0,22.1,46.8
230,2021-4-30 2:5:0,22.1,46.8
231,2021-4-30 2:10:0,22.1,46.8
232,2021-4-30 2:15:0,22.1,46.9
233,2021-4-30 2:20:0,22.1,46.9
234,2021-4-30 2:25:0,22.1,47
235,2021-4-30 2:30:0,22.1,47
236,2021-4-30 2:35:0,22.1,47.1
237,2021-4-30 2:40:0,22.1,47.1
238,2021-4-30 2:45:0,22,47.1
239,2021-4-30 2:50:0,22,47.2
240,2021-4-30 2:55:0,22,47.2
241,2021-4-30 3:0:0,22,47.2
242,2021-4-30 3:5:0,22,47.2
243,2021-4-30 3:10:0,22,47.3
244,2021-4-30 3:15:0,22,47.3
245,2021-4-30 3:20:0,22,47.3
246,2021-4-30 3:25:0,22,47.3
247,2021-4-30 3:30:0,22,47.3
248,2021-4-30 3:35:0,22,47.4
249,2021-4-30 3:40:0,22,47.4
250,2021-4-30 3:45:0,22,47.4
251,2021-4-30 3:50:0,22,47.4
252,2021-4-30 3:55:0,22,47.4
253,2021-4-30 4:0:0,21.9,47.4
254,2021-4-30 4:5:0,21.9,47.5
255,2021-4-30 4:10:0,21.9,47.5
256,2021-4-30 4:15:0,21.9,47.5
257,2021-4-30 4:20:0,21.9,47.5
258,2021-4-30 4:25:0,21.9,47.5
259,2021-4-30 4:30:0,21.9,47.6
260,2021-4-30 4:35:0,21.9,47.6
261,2021-4-30 4:40:0,21.9,47.6
262,2021-4-30 4:45:0,21.9,47.6
263,2021-4-30 4:50:0,21.9,47.7
264,2021-4-30 4:55:0,21.9,47.7
265,2021-4-30 5:0:0,21.9,47.7
266,2021-4-30 5:5:0,21.9,47.7
267,2021-4-30 5:10:0,21.9,47.8
268,2021-4-30 5:15:0,21.9,47.8
269,2021-4-30 5:20:0,21.9,47.8
270,2021-4-30 5:25:0,21.8,47.8
271,2021-4-30 5:30:0,21.8,47.8
272,2021-4-30 5:35:0,21.8,47.8
273,2021-4-30 5:40:0,21.8,47.9
274,2021-4-30 5:45:0,21.8,47.9
275,2021-4-30 5:50:0,21.8,47.9
276,2021-4-30 5:55:0,21.8,47.9
277,2021-4-30 6:0:0,21.8,47.9
278,2021-4-30 6:5:0,21.8,47.9
279,2021-4-30 6:10:0,21.8,47.9
280,2021-4-30 6:15:0,21.8,47.9
281,2021-4-30 6:20:0,21.8,47.9
282,2021-4-30 6:25:0,21.8,48
283,2021-4-30 6:30:0,21.8,47.9
284,2021-4-30 6:35:0,21.8,47.9
285,2021-4-30 6:40:0,21.8,47.9
286,2021-4-30 6:45:0,21.7,47.7
287,2021-4-30 6:50:0,21.7,47.6
288,2021-4-30 6:55:0,21.7,47.4
289,2021-4-30 7:0:0,21.7,47.3
290,2021-4-30 7:5:0,21.7,47.3
291,2021-4-30 7:10:0,21.7,47.3
292,2021-4-30 7:15:0,21.7,47.4
293,2021-4-30 7:20:0,21.7,47.6
294,2021-4-30 7:25:0,21.7,47.7
295,2021-4-30 7:30:0,21.7,47.8
296,2021-4-30 7:35:0,21.7,48
297,2021-4-30 7:40:0,21.7,48.1
298,2021-4-30 7:45:0,21.7,48.1
299,2021-4-30 7:50:0,21.7,48.2
300,2021-4-30 7:55:0,21.7,48.2
