1号记录仪温湿度记录表
序号,时间(单位:秒),温度(单位:℃),湿度(单位:RH%)
103,2021-4-29 15:30:0,25,48.5
104,2021-4-29 15:35:0,25,45.8
105,2021-4-29 15:40:0,24.9,44.5
106,2021-4-29 15:45:0,24.9,43.2
107,2021-4-29 15:50:0,25,44.1
108,2021-4-29 15:55:0,25.1,46.7
109,2021-4-29 16:0:0,25,45.3
110,2021-4-29 16:5:0,25,44.4
111,2021-4-29 16:10:0,25,44.1
112,2021-4-29 16:15:0,25.1,43.8
113,2021-4-29 16:20:0,25.1,44
114,2021-4-29 16:25:0,25.2,43.7
115,2021-4-29 16:30:0,25.1,44.3
116,2021-4-29 16:35:0,25.1,44.2
117,2021-4-29 16:40:0,25.1,44.4
118,2021-4-29 16:45:0,25,43.9
119,2021-4-29 16:50:0,25.1,44.1
120,2021-4-29 16:55:0,25.1,44.1
121,2021-4-29 17:0:0,25.1,44.1
122,2021-4-29 17:5:0,25.1,43.9
123,2021-4-29 17:10:0,25.2,43.9
124,2021-4-29 17:15:0,25.1,43.6
125,2021-4-29 17:20:0,25.1,47.3
126,2021-4-29 17:25:0,25.1,47.6
127,2021-4-29 17:30:0,25,46
128,2021-4-29 17:35:0,25,45.6
129,2021-4-29 17:40:0,25,44.2
130,2021-4-29 17:45:0,25,50.3
131,2021-4-29 17:50:0,24.8,46.6
132,2021-4-29 17:55:0,24.4,45.4
133,2021-4-29 18:0:0,23.8,45
134,2021-4-29 18:5:0,23.3,45.1
135,2021-4-29 18:10:0,22.8,45.1
136,2021-4-29 18:15:0,22.4,45.2
137,2021-4-29 18:20:0,22.2,44.9
138,2021-4-29 18:25:0,22.1,44.5
139,2021-4-29 18:30:0,22,44.5
140,2021-4-29 18:35:0,21.8,44
141,2021-4-29 18:40:0,21.6,43.8
142,2021-4-29 18:45:0,21.5,44
143,2021-4-29 18:50:0,21.6,43.8
144,2021-4-29 18:55:0,21.6,43.8
145,2021-4-29 19:0:0,21.6,44.1
146,2021-4-29 19:5:0,21.6,44
147,2021-4-29 19:10:0,21.6,44.1
148,2021-4-29 19:15:0,21.7,44.2
149,2021-4-29 19:20:0,21.7,44.5
150,2021-4-29 19:25:0,21.7,44.6
151,2021-4-29 19:30:0,21.7,44.5
152,2021-4-29 19:35:0,21.7,44.5
153,2021-4-29 19:40:0,21.7,44.6
154,2021-4-29 19:45:0,21.7,44.5
155,2021-4-29 19:50:0,21.8,44.5
156,2021-4-29 19:55:0,21.8,44.5
157,2021-4-29 20:0:0,21.8,44.6
158,2021-4-29 20:5:0,21.8,44.6
159,2021-4-29 20:10:0,21.8,44.6
160,2021-4-29 20:15:0,21.8,44.6
161,2021-4-29 20:20:0,21.9,44.7
162,2021-4-29 20:25:0,21.9,44.8
163,2021-4-29 20:30:0,21.9,44.8
164,2021-4-29 20:35:0,21.9,44.8
165,2021-4-29 20:40:0,21.9,44.9
166,2021-4-29 20:45:0,21.9,45
167,2021-4-29 20:50:0,22,45
168,2021-4-29 20:55:0,22,45.1
169,2021-4-29 21:0:0,22,45.2
170,2021-4-29 21:5:0,22,45.2
171,2021-4-29 21:10:0,22,45.3
172,2021-4-29 21:15:0,22,45.4
173,2021-4-29 21:20:0,22,45.4
174,2021-4-29 21:25:0,22,45.6
175,2021-4-29 21:30:0,22,45.7
176,2021-4-29 21:35:0,22.1,45.8
177,2021-4-29 21:40:0,22.1,45.8
178,2021-4-29 21:45:0,22.1,45.8
179,2021-4-29 21:50:0,22.1,45.9
180,2021-4-29 21:55:0,22.1,45.9
181,2021-4-29 22:0:0,22.1,45.9
182,2021-4-29 22:5:0,22.1,46
183,2021-4-29 22:10:0,22.1,46
184,2021-4-29 22:15:0,22.1,46
185,2021-4-29 22:20:0,22.1,46
186,2021-4-29 22:25:0,22.1,46
187,2021-4-29 22:30:0,22.1,46.1
188,2021-4-29 22:35:0,22.1,46.1
189,2021-4-29 22:40:0,22.1,46.1
190,2021-4-29 22:45:0,22.1,46.1
191,2021-4-29 22:50:0,22.1,46.2
192,2021-4-29 22:55:0,22.1,46.2
193,2021-4-29 23:0:0,22.1,46.2
194,2021-4-29 23:5:0,22.1,46.2
195,2021-4-29 23:10:0,22.1,46.3
196,2021-4-29 23:15:0,22.1,46.3
197,2021-4-29 23:20:0,22.1,46.3
198,2021-4-29 23:25:0,22.1,46.3
199,2021-4-29 23:30:0,22.1,46.3
200,2021-4-29 23:35:0,22.1,46.3
201,2021-4-29 23:40:0,22.1,46.3
202,2021-4-29 23:45:0,22.1,46.3
203,2021-4-29 23:50:0,22.1,46.3
204,2021-4-29 23:55:0,22.1,46.3
205,2021-4-30 0:0:0,22.1,46.4
206,2021-4-30 0:5:0,22.1,46.4
207,2021-4-30 0:10:0,22,46.4
208,2021-4-30 0:15:0,22,46.4
209,2021-4-30 0:20:0,22,46.4
210,2021-4-30 0:25:0,22,46.4
211,2021-4-30 0:30:0,22,46.4
212,2021-4-30 0:35:0,22,46.5
213,2021-4-30 0:40:0,22,46.5
214,2021-4-30 0:45:0,22,46.5
215,2021-4-30 0:50:0,22,46.6
216,2021-4-30 0:55:0,22,46.6
217,2021-4-30 1:0:0,22,46.7
218,2021-4-30 1:5:0,22,46.7
219,2021-4-30 1:10:0,22,46.7
220,2021-4-30 1:15:0,22,46.8
221,2021-4-30 1:20:0,22,46.7
222,2021-4-30 1:25:0,22,46.8
223,2021-4-30 1:30:0,21.9,46.8
224,2021-4-30 1:35:0,21.9,46.9
225,2021-4-30 1:40:0,21.9,46.9
226,2021-4-30 1:45:0,21.9,47
227,2021-4-30 1:50:0,21.9,47
228,2021-4-30 1:55:0,21.9,47
229,2021-4-30 2:0:0,21.9,47.1
230,2021-4-30 2:5:0,21.9,47.1
231,2021-4-30 2:10:0,21.9,47.1
232,2021-4-30 2:15:0,21.9,47.2
233,2021-4-30 2:20:0,21.9,47.2
234,2021-4-30 2:25:0,21.9,47.2
235,2021-4-30 2:30:0,21.9,47.3
236,2021-4-30 2:35:0,21.8,47.3
237,2021-4-30 2:40:0,21.8,47.4
238,2021-4-30 2:45:0,21.8,47.4
239,2021-4-30 2:50:0,21.8,47.4
240,2021-4-30 2:55:0,21.8,47.5
241,2021-4-30 3:0:0,21.8,47.4
242,2021-4-30 3:5:0,21.8,47.3
243,2021-4-30 3:10:0,21.8,47.4
244,2021-4-30 3:15:0,21.8,47.5
245,2021-4-30 3:20:0,21.8,47.4
246,2021-4-30 3:25:0,21.8,47.5
247,2021-4-30 3:30:0,21.8,47.4
248,2021-4-30 3:35:0,21.8,47.6
249,2021-4-30 3:40:0,21.8,47.6
250,2021-4-30 3:45:0,21.8,47.6
251,2021-4-30 3:50:0,21.7,47.6
252,2021-4-30 3:55:0,21.7,47.6
253,2021-4-30 4:0:0,21.7,47.7
254,2021-4-30 4:5:0,21.7,47.7
255,2021-4-30 4:10:0,21.7,47.8
256,2021-4-30 4:15:0,21.7,47.7
257,2021-4-30 4:20:0,21.7,47.9
258,2021-4-30 4:25:0,21.7,47.8
259,2021-4-30 4:30:0,21.7,47.8
260,2021-4-30 4:35:0,21.7,47.9
261,2021-4-30 4:40:0,21.7,47.9
262,2021-4-30 4:45:0,21.7,47.9
263,2021-4-30 4:50:0,21.7,47.9
264,2021-4-30 4:55:0,21.7,47.9
265,2021-4-30 5:0:0,21.7,47.9
266,2021-4-30 5:5:0,21.7,47.9
267,2021-4-30 5:10:0,21.6,48
268,2021-4-30 5:15:0,21.6,48.1
269,2021-4-30 5:20:0,21.6,48.1
270,2021-4-30 5:25:0,21.6,48.1
271,2021-4-30 5:30:0,21.6,48
272,2021-4-30 5:35:0,21.6,48.1
273,2021-4-30 5:40:0,21.6,48.1
274,2021-4-30 5:45:0,21.6,48.1
275,2021-4-30 5:50:0,21.6,48.1
276,2021-4-30 5:55:0,21.6,48.2
277,2021-4-30 6:0:0,21.6,48.1
278,2021-4-30 6:5:0,21.6,48.1
279,2021-4-30 6:10:0,21.6,48.1
280,2021-4-30 6:15:0,21.6,48.1
281,2021-4-30 6:20:0,21.6,48.2
282,2021-4-30 6:25:0,21.6,48.3
283,2021-4-30 6:30:0,21.5,48.3
284,2021-4-30 6:35:0,21.5,48.3
285,2021-4-30 6:40:0,21.5,48.2
286,2021-4-30 6:45:0,21.5,47.7
287,2021-4-30 6:50:0,21.5,48
288,2021-4-30 6:55:0,21.5,47.9
289,2021-4-30 7:0:0,21.5,47.8
290,2021-4-30 7:5:0,21.5,47.8
291,2021-4-30 7:10:0,21.5,47.9
292,2021-4-30 7:15:0,21.5,48
293,2021-4-30 7:20:0,21.5,48.1
294,2021-4-30 7:25:0,21.5,48.2
295,2021-4-30 7:30:0,21.5,48.3
296,2021-4-30 7:35:0,21.5,48.4
297,2021-4-30 7:40:0,21.5,48.5
298,2021-4-30 7:45:0,21.5,48.5
299,2021-4-30 7:50:0,21.4,48.6
300,2021-4-30 7:55:0,21.4,48.7
301,2021-4-30 8:0:0,21.4,48.7
302,2021-4-30 8:5:0,21.4,48.8
303,2021-4-30 8:10:0,21.4,48.9
304,2021-4-30 8:15:0,21.4,49
305,2021-4-30 8:20:0,21.4,49
306,2021-4-30 8:25:0,21.4,49.1
307,2021-4-30 8:30:0,21.4,49.2
308,2021-4-30 8:35:0,21.4,49.2
309,2021-4-30 8:40:0,21.4,49.2
310,2021-4-30 8:45:0,21.4,49.2
311,2021-4-30 8:50:0,21.4,48.9
312,2021-4-30 8:55:0,21.5,48
313,2021-4-30 9:0:0,21.9,46.5
314,2021-4-30 9:5:0,22.4,59.5
315,2021-4-30 9:10:0,22.8,53.2
316,2021-4-30 9:15:0,23.1,50.4
317,2021-4-30 9:20:0,23.2,48.5
318,2021-4-30 9:25:0,23.3,47.7
319,2021-4-30 9:30:0,23.4,46.9
320,2021-4-30 9:35:0,23.6,51.5
321,2021-4-30 9:40:0,23.7,50.1
322,2021-4-30 9:45:0,23.8,49.1
323,2021-4-30 9:50:0,23.9,48.6
324,2021-4-30 9:55:0,24,48.3
325,2021-4-30 10:0:0,24.1,47.8
326,2021-4-30 10:5:0,24.1,47.6
327,2021-4-30 10:10:0,24.2,47.1
328,2021-4-30 10:15:0,24.2,47
329,2021-4-30 10:20:0,24.3,47.1
330,2021-4-30 10:25:0,24.4,47.4
331,2021-4-30 10:30:0,24.4,47.4
332,2021-4-30 10:35:0,24.5,47.5
333,2021-4-30 10:40:0,24.5,47.8
334,2021-4-30 10:45:0,24.6,47.6
335,2021-4-30 10:50:0,24.6,47.3
336,2021-4-30 10:55:0,24.6,47
337,2021-4-30 11:0:0,24.6,46.7
338,2021-4-30 11:5:0,24.6,46.6
339,2021-4-30 11:10:0,24.7,47
340,2021-4-30 11:15:0,24.7,47.1
341,2021-4-30 11:20:0,24.7,47.1
342,2021-4-30 11:25:0,24.7,47.1
343,2021-4-30 11:30:0,24.7,46.7
344,2021-4-30 11:33:10,23.5,40.6
