1号记录仪温湿度记录表
序号,时间(单位:秒),温度(单位:℃),湿度(单位:RH%)
1,2021-4-29 7:0:0,20.2,45.7
2,2021-4-29 7:5:0,20.3,45.7
3,2021-4-29 7:10:0,20.3,45
4,2021-4-29 7:15:0,20.4,44.7
5,2021-4-29 7:20:0,21.3,50.6
6,2021-4-29 7:25:0,22.3,47.6
7,2021-4-29 7:30:0,23,46.7
8,2021-4-29 7:35:0,23.6,53.5
9,2021-4-29 7:40:0,23.9,50.9
10,2021-4-29 7:45:0,23.9,49.2
11,2021-4-29 7:50:0,24,48.6
12,2021-4-29 7:55:0,24.1,47.9
13,2021-4-29 8:0:0,24.1,47.7
14,2021-4-29 8:5:0,24.1,47.3
15,2021-4-29 8:10:0,24.1,47
16,2021-4-29 8:15:0,24.2,46.8
17,2021-4-29 8:20:0,24.3,46.1
18,2021-4-29 8:25:0,24.3,45.8
19,2021-4-29 8:30:0,24.4,45.5
20,2021-4-29 8:35:0,24.5,45
21,2021-4-29 8:40:0,24.5,45.4
22,2021-4-29 8:45:0,24.5,45.3
23,2021-4-29 8:50:0,24.5,45.5
24,2021-4-29 8:55:0,24.5,45.4
25,2021-4-29 9:0:0,24.6,45.3
26,2021-4-29 9:5:0,24.7,46.6
27,2021-4-29 9:10:0,24.8,46.8
28,2021-4-29 9:15:0,24.8,47.5
29,2021-4-29 9:20:0,24.8,47.5
30,2021-4-29 9:25:0,24.8,48
31,2021-4-29 9:30:0,24.9,47.9
32,2021-4-29 9:35:0,24.9,48.2
33,2021-4-29 9:40:0,25,48.1
34,2021-4-29 9:45:0,25,47.2
35,2021-4-29 9:50:0,25.1,46.6
36,2021-4-29 9:55:0,25,46.1
37,2021-4-29 10:0:0,25.1,45.7
38,2021-4-29 10:5:0,25.1,45.4
39,2021-4-29 10:10:0,25.1,45.6
40,2021-4-29 10:15:0,25.1,45.8
41,2021-4-29 10:20:0,25.2,46.7
42,2021-4-29 10:25:0,25.1,46.8
43,2021-4-29 10:30:0,25.1,46.6
44,2021-4-29 10:35:0,25.1,46.6
45,2021-4-29 10:40:0,25.1,46.4
46,2021-4-29 10:45:0,25,46.4
47,2021-4-29 10:50:0,25,46.4
48,2021-4-29 10:55:0,25,45.8
49,2021-4-29 11:0:0,25,44.8
50,2021-4-29 11:5:0,24.9,44.2
51,2021-4-29 11:10:0,24.9,44
52,2021-4-29 11:15:0,24.9,43.6
53,2021-4-29 11:20:0,24.9,43.4
54,2021-4-29 11:25:0,24.9,43.6
55,2021-4-29 11:30:0,25,44.2
56,2021-4-29 11:35:0,25,44.4
57,2021-4-29 11:40:0,24.9,44.7
58,2021-4-29 11:45:0,24.8,45.2
59,2021-4-29 11:50:0,24.9,45.1
60,2021-4-29 11:55:0,25.1,45.2
61,2021-4-29 12:0:0,25.1,45.3
62,2021-4-29 12:5:0,25.1,44.9
63,2021-4-29 12:10:0,25,44.6
64,2021-4-29 12:15:0,25,43.7
65,2021-4-29 12:20:0,25,43.2
66,2021-4-29 12:25:0,24.9,43.2
67,2021-4-29 12:30:0,24.9,43.2
68,2021-4-29 12:35:0,25,42.9
69,2021-4-29 12:40:0,25,42.6
70,2021-4-29 12:45:0,25,51.6
71,2021-4-29 12:50:0,25,47
72,2021-4-29 12:55:0,25,45.4
73,2021-4-29 13:0:0,24.9,44.5
74,2021-4-29 13:5:0,24.9,43.9
75,2021-4-29 13:10:0,24.8,43.4
76,2021-4-29 13:15:0,24.8,43
77,2021-4-29 13:20:0,24.9,42.8
78,2021-4-29 13:25:0,24.9,47
79,2021-4-29 13:30:0,24.9,44.9
80,2021-4-29 13:35:0,25,43.7
81,2021-4-29 13:40:0,24.9,43.2
82,2021-4-29 13:45:0,24.9,42.9
83,2021-4-29 13:50:0,24.8,42.5
84,2021-4-29 13:55:0,24.9,48
85,2021-4-29 14:0:0,25,46.4
86,2021-4-29 14:5:0,25,46.1
87,2021-4-29 14:10:0,25,45.5
88,2021-4-29 14:15:0,25,45.2
89,2021-4-29 14:20:0,25.1,46
90,2021-4-29 14:25:0,25.1,44.4
91,2021-4-29 14:30:0,25.1,44
92,2021-4-29 14:35:0,25.1,44.5
93,2021-4-29 14:40:0,25.1,43.9
94,2021-4-29 14:45:0,25,43.5
95,2021-4-29 14:50:0,25.1,43.1
96,2021-4-29 14:55:0,25.1,46.8
97,2021-4-29 15:0:0,25.1,46.8
98,2021-4-29 15:5:0,25.1,45.3
99,2021-4-29 15:10:0,25,44.5
100,2021-4-29 15:15:0,25,44.1
101,2021-4-29 15:20:0,24.9,43.7
102,2021-4-29 15:25:0,24.9,42.9
