1号记录仪温湿度记录表
序号,时间(单位:秒),温度(单位:℃),湿度(单位:RH%)
143,2021-4-29 18:50:0,21,44.7
144,2021-4-29 18:55:0,21.1,44.6
145,2021-4-29 19:0:0,21.2,44.5
146,2021-4-29 19:5:0,21.3,44.4
147,2021-4-29 19:10:0,21.4,44.3
148,2021-4-29 19:15:0,21.4,44.3
149,2021-4-29 19:20:0,21.5,44.2
150,2021-4-29 19:25:0,21.6,44.2
151,2021-4-29 19:30:0,21.6,44.2
152,2021-4-29 19:35:0,21.6,44.1
153,2021-4-29 19:40:0,21.7,44.1
154,2021-4-29 19:45:0,21.8,44.1
155,2021-4-29 19:50:0,21.8,44.1
156,2021-4-29 19:55:0,21.8,44.1
157,2021-4-29 20:0:0,21.9,44.1
158,2021-4-29 20:5:0,21.9,44.1
159,2021-4-29 20:10:0,21.9,44.1
160,2021-4-29 20:15:0,22,44.2
161,2021-4-29 20:20:0,22,44.2
162,2021-4-29 20:25:0,22,44.3
163,2021-4-29 20:30:0,22,44.3
164,2021-4-29 20:35:0,22,44.3
165,2021-4-29 20:40:0,22.1,44.4
166,2021-4-29 20:45:0,22.1,44.5
167,2021-4-29 20:50:0,22.1,44.5
168,2021-4-29 20:55:0,22.1,44.6
169,2021-4-29 21:0:0,22.1,44.6
170,2021-4-29 21:5:0,22.1,44.7
171,2021-4-29 21:10:0,22.2,44.7
172,2021-4-29 21:15:0,22.2,44.8
173,2021-4-29 21:20:0,22.2,44.9
174,2021-4-29 21:25:0,22.2,44.9
175,2021-4-29 21:30:0,22.2,44.9
176,2021-4-29 21:35:0,22.2,45
177,2021-4-29 21:40:0,22.2,45
178,2021-4-29 21:45:0,22.2,45
179,2021-4-29 21:50:0,22.2,45.1
180,2021-4-29 21:55:0,22.2,45
181,2021-4-29 22:0:0,22.2,45.1
182,2021-4-29 22:5:0,22.2,45.1
183,2021-4-29 22:10:0,22.2,45.2
184,2021-4-29 22:15:0,22.2,45.2
185,2021-4-29 22:20:0,22.2,45.2
186,2021-4-29 22:25:0,22.2,45.2
187,2021-4-29 22:30:0,22.2,45.2
188,2021-4-29 22:35:0,22.2,45.2
189,2021-4-29 22:40:0,22.2,45.3
190,2021-4-29 22:45:0,22.2,45.3
191,2021-4-29 22:50:0,22.2,45.4
192,2021-4-29 22:55:0,22.2,45.4
193,2021-4-29 23:0:0,22.2,45.4
