1号记录仪温湿度记录表
序号,时间(单位:秒),温度(单位:℃),湿度(单位:RH%)
1,2021-4-29 7:0:0,21.2,44
2,2021-4-29 7:5:0,21.2,44
3,2021-4-29 7:10:0,21.2,43.7
4,2021-4-29 7:15:0,21.2,43
5,2021-4-29 7:20:0,21.4,44.4
6,2021-4-29 7:25:0,22.4,47.4
7,2021-4-29 7:30:0,23.3,53.3
8,2021-4-29 7:35:0,23.9,50.1
9,2021-4-29 7:40:0,24.5,53.5
10,2021-4-29 7:45:0,24.9,50.8
11,2021-4-29 7:50:0,25.3,55.1
12,2021-4-29 7:55:0,25.7,48.4
13,2021-4-29 8:0:0,26,57.2
14,2021-4-29 8:5:0,26.5,47.9
15,2021-4-29 8:10:0,26.8,51.8
16,2021-4-29 8:15:0,26.9,49.2
17,2021-4-29 8:20:0,27,44.8
18,2021-4-29 8:25:0,27.1,52.3
19,2021-4-29 8:30:0,27.1,46
20,2021-4-29 8:35:0,27.2,52.2
21,2021-4-29 8:40:0,27.2,47.7
22,2021-4-29 8:45:0,27.2,44.1
23,2021-4-29 8:50:0,27.3,50.5
24,2021-4-29 8:55:0,27.3,45.6
25,2021-4-29 9:0:0,27.3,51.2
26,2021-4-29 9:5:0,27.3,46.8
27,2021-4-29 9:10:0,27.2,48.8
28,2021-4-29 9:15:0,27.2,47.4
29,2021-4-29 9:20:0,27.1,45.5
30,2021-4-29 9:25:0,27.1,49.2
31,2021-4-29 9:30:0,27.1,43.9
32,2021-4-29 9:35:0,27.2,49.7
33,2021-4-29 9:40:0,27.1,44.6
34,2021-4-29 9:45:0,27.2,53.1
35,2021-4-29 9:50:0,27.1,45.2
36,2021-4-29 9:55:0,27.1,52.7
37,2021-4-29 10:0:0,27.1,46.2
38,2021-4-29 10:5:0,27.1,47.6
39,2021-4-29 10:10:0,27.2,47.5
40,2021-4-29 10:15:0,27.1,44
41,2021-4-29 10:20:0,27.2,50.4
42,2021-4-29 10:25:0,27.2,44.8
43,2021-4-29 10:30:0,27.2,50.6
44,2021-4-29 10:35:0,27.3,47.2
45,2021-4-29 10:40:0,27.2,44.2
46,2021-4-29 10:45:0,27.3,52.1
47,2021-4-29 10:50:0,27.3,46
48,2021-4-29 10:55:0,27.2,46
49,2021-4-29 11:0:0,27.3,48
50,2021-4-29 11:5:0,27.3,43.5
51,2021-4-29 11:10:0,27.3,50.8
52,2021-4-29 11:15:0,27.3,45.1
53,2021-4-29 11:20:0,27.3,50.5
