1号记录仪温湿度记录表
序号,时间(单位:秒),温度(单位:℃),湿度(单位:RH%)
54,2021-4-29 11:25:0,27.3,46.9
55,2021-4-29 11:30:0,27.3,44.5
56,2021-4-29 11:35:0,27.3,48.5
57,2021-4-29 11:40:0,27.3,43.4
58,2021-4-29 11:45:0,27.3,49.9
59,2021-4-29 11:50:0,27.2,44.1
60,2021-4-29 11:55:0,27.3,52.9
61,2021-4-29 12:0:0,27.2,44.7
62,2021-4-29 12:5:0,27.2,52.7
63,2021-4-29 12:10:0,27.2,44.8
64,2021-4-29 12:15:0,27.2,52.4
65,2021-4-29 12:20:0,27.2,44.9
66,2021-4-29 12:25:0,27.2,51.7
67,2021-4-29 12:30:0,27.2,45.3
68,2021-4-29 12:35:0,27.2,51.1
69,2021-4-29 12:40:0,27.2,45.5
70,2021-4-29 12:45:0,27.2,51
71,2021-4-29 12:50:0,27.2,45.6
72,2021-4-29 12:55:0,27.2,51.6
73,2021-4-29 13:0:0,27.2,45.1
74,2021-4-29 13:5:0,27.2,51.9
75,2021-4-29 13:10:0,27.2,44.9
76,2021-4-29 13:15:0,27.2,52.2
77,2021-4-29 13:20:0,27.2,44.6
78,2021-4-29 13:25:0,27.2,53.1
79,2021-4-29 13:30:0,27.2,44.3
80,2021-4-29 13:35:0,27.2,52.4
81,2021-4-29 13:40:0,27.2,44.6
82,2021-4-29 13:45:0,27.2,52.8
83,2021-4-29 13:50:0,27.2,44.2
84,2021-4-29 13:55:0,27.2,53.1
85,2021-4-29 14:0:0,27.2,44.1
86,2021-4-29 14:5:0,27.2,53.6
87,2021-4-29 14:10:0,27.2,44
88,2021-4-29 14:15:0,27.2,53.2
89,2021-4-29 14:20:0,27.2,44.6
90,2021-4-29 14:25:0,27.2,53.2
91,2021-4-29 14:30:0,27.2,44.6
92,2021-4-29 14:35:0,27.2,53.3
93,2021-4-29 14:40:0,27.2,44.9
94,2021-4-29 14:45:0,27.3,52.4
95,2021-4-29 14:50:0,27.3,45.2
96,2021-4-29 14:55:0,27.3,50.9
97,2021-4-29 15:0:0,27.3,46.2
98,2021-4-29 15:5:0,27.3,49.2
99,2021-4-29 15:10:0,27.3,46.3
100,2021-4-29 15:15:0,27.3,49.8
101,2021-4-29 15:20:0,27.3,46.8
102,2021-4-29 15:25:0,27.3,46.7
103,2021-4-29 15:30:0,27.3,48
104,2021-4-29 15:35:0,27.3,46.2
105,2021-4-29 15:40:0,27.3,47.5
106,2021-4-29 15:45:0,27.3,46.8
107,2021-4-29 15:50:0,27.3,47.7
108,2021-4-29 15:55:0,27.3,46.7
109,2021-4-29 16:0:0,27.3,48
110,2021-4-29 16:5:0,27.2,44.5
111,2021-4-29 16:10:0,27.3,49.9
112,2021-4-29 16:15:0,27.2,43.7
113,2021-4-29 16:20:0,27.3,51.2
114,2021-4-29 16:25:0,27.2,43.8
115,2021-4-29 16:30:0,27.2,52.6
116,2021-4-29 16:35:0,27.2,44.7
117,2021-4-29 16:40:0,27.2,52.1
118,2021-4-29 16:45:0,27.2,46.1
119,2021-4-29 16:50:0,27.2,49.5
120,2021-4-29 16:55:0,27.2,46.8
121,2021-4-29 17:0:0,27.2,46.8
122,2021-4-29 17:5:0,27.2,48.3
123,2021-4-29 17:10:0,27.3,45.7
124,2021-4-29 17:15:0,27.3,48.3
125,2021-4-29 17:20:0,27.3,43.4
126,2021-4-29 17:25:0,27.3,50.2
127,2021-4-29 17:30:0,27.3,44.1
128,2021-4-29 17:35:0,27.3,52.6
129,2021-4-29 17:40:0,27.3,44.5
130,2021-4-29 17:45:0,27.3,52.2
131,2021-4-29 17:50:0,26.9,45.6
132,2021-4-29 17:55:0,26.2,42.9
133,2021-4-29 18:0:0,25.6,41.7
134,2021-4-29 18:5:0,24.9,40.9
135,2021-4-29 18:10:0,24.4,40.5
136,2021-4-29 18:15:0,23.9,40.1
137,2021-4-29 18:20:0,23.5,39.7
138,2021-4-29 18:25:0,23.2,42
139,2021-4-29 18:30:0,23,43.5
140,2021-4-29 18:35:0,22.8,41.7
141,2021-4-29 18:40:0,22.5,40.8
142,2021-4-29 18:45:0,22.7,40.5
143,2021-4-29 18:50:0,22.9,40.2
144,2021-4-29 18:55:0,23,40.1
145,2021-4-29 19:0:0,23.1,40.2
146,2021-4-29 19:5:0,23.1,40.3
147,2021-4-29 19:10:0,23.1,40.4
148,2021-4-29 19:15:0,23.1,40.5
149,2021-4-29 19:20:0,23.1,40.5
150,2021-4-29 19:25:0,23.1,40.5
151,2021-4-29 19:30:0,23.1,40.6
152,2021-4-29 19:35:0,23.1,40.6
153,2021-4-29 19:40:0,23.1,40.6
154,2021-4-29 19:45:0,23.1,40.6
155,2021-4-29 19:50:0,23.1,40.6
156,2021-4-29 19:55:0,23.1,40.5
157,2021-4-29 20:0:0,23.1,40.5
158,2021-4-29 20:5:0,23.1,40.6
159,2021-4-29 20:10:0,23.1,40.6
160,2021-4-29 20:15:0,23.1,40.6
161,2021-4-29 20:20:0,23.1,40.5
162,2021-4-29 20:25:0,23.1,40.5
163,2021-4-29 20:30:0,23.1,40.5
164,2021-4-29 20:35:0,23.1,40.5
165,2021-4-29 20:40:0,23.1,40.5
166,2021-4-29 20:45:0,23.1,40.5
167,2021-4-29 20:50:0,23.1,40.5
168,2021-4-29 20:55:0,23.1,40.5
169,2021-4-29 21:0:0,23.1,40.5
170,2021-4-29 21:5:0,23.1,40.5
171,2021-4-29 21:10:0,23.1,40.5
172,2021-4-29 21:15:0,23.1,40.3
173,2021-4-29 21:20:0,23.1,40.4
174,2021-4-29 21:25:0,23.1,40.3
175,2021-4-29 21:30:0,23.1,40.3
176,2021-4-29 21:35:0,23.1,40.3
177,2021-4-29 21:40:0,23.1,40.3
178,2021-4-29 21:45:0,23.1,40.2
179,2021-4-29 21:50:0,23.1,40.2
180,2021-4-29 21:55:0,23.1,40.2
181,2021-4-29 22:0:0,23,40.2
182,2021-4-29 22:5:0,23,40.2
183,2021-4-29 22:10:0,23,40.1
184,2021-4-29 22:15:0,23,40.1
185,2021-4-29 22:20:0,23,40
186,2021-4-29 22:25:0,23,40
187,2021-4-29 22:30:0,23,40
188,2021-4-29 22:35:0,23,40
189,2021-4-29 22:40:0,23,40
190,2021-4-29 22:45:0,23,40
191,2021-4-29 22:50:0,23,40
192,2021-4-29 22:55:0,23,40
193,2021-4-29 23:0:0,23,39.9
194,2021-4-29 23:5:0,23,39.9
195,2021-4-29 23:10:0,23,39.9
196,2021-4-29 23:15:0,23,39.8
197,2021-4-29 23:20:0,23,39.8
198,2021-4-29 23:25:0,23,39.8
199,2021-4-29 23:30:0,22.9,39.8
200,2021-4-29 23:35:0,22.9,39.8
201,2021-4-29 23:40:0,22.9,39.7
202,2021-4-29 23:45:0,22.9,39.7
203,2021-4-29 23:50:0,22.9,39.8
204,2021-4-29 23:55:0,22.9,39.7
205,2021-4-30 0:0:0,22.9,39.7
206,2021-4-30 0:5:0,22.9,39.6
207,2021-4-30 0:10:0,22.9,39.6
208,2021-4-30 0:15:0,22.9,39.6
209,2021-4-30 0:20:0,22.9,39.6
210,2021-4-30 0:25:0,22.9,39.6
211,2021-4-30 0:30:0,22.9,39.6
212,2021-4-30 0:35:0,22.8,39.5
213,2021-4-30 0:40:0,22.8,39.6
214,2021-4-30 0:45:0,22.8,39.6
215,2021-4-30 0:50:0,22.8,39.6
216,2021-4-30 0:55:0,22.8,39.6
217,2021-4-30 1:0:0,22.8,39.5
218,2021-4-30 1:5:0,22.8,39.5
219,2021-4-30 1:10:0,22.8,39.5
220,2021-4-30 1:15:0,22.8,39.6
221,2021-4-30 1:20:0,22.8,39.6
222,2021-4-30 1:25:0,22.8,39.6
223,2021-4-30 1:30:0,22.8,39.7
224,2021-4-30 1:35:0,22.8,39.6
225,2021-4-30 1:40:0,22.7,39.6
226,2021-4-30 1:45:0,22.7,39.7
227,2021-4-30 1:50:0,22.7,39.7
228,2021-4-30 1:55:0,22.7,39.7
229,2021-4-30 2:0:0,22.7,39.6
230,2021-4-30 2:5:0,22.7,39.6
231,2021-4-30 2:10:0,22.7,39.5
232,2021-4-30 2:15:0,22.7,39.5
233,2021-4-30 2:20:0,22.7,39.5
234,2021-4-30 2:25:0,22.7,39.6
235,2021-4-30 2:30:0,22.7,39.6
236,2021-4-30 2:35:0,22.7,39.5
237,2021-4-30 2:40:0,22.6,39.7
238,2021-4-30 2:45:0,22.6,39.5
239,2021-4-30 2:50:0,22.6,39.5
240,2021-4-30 2:55:0,22.6,39.5
241,2021-4-30 3:0:0,22.6,39.6
242,2021-4-30 3:5:0,22.6,39.7
243,2021-4-30 3:10:0,22.6,39.8
244,2021-4-30 3:15:0,22.6,39.7
245,2021-4-30 3:20:0,22.6,39.7
246,2021-4-30 3:25:0,22.6,39.8
247,2021-4-30 3:30:0,22.6,39.5
248,2021-4-30 3:35:0,22.6,39.7
249,2021-4-30 3:40:0,22.6,39.7
250,2021-4-30 3:45:0,22.6,39.6
251,2021-4-30 3:50:0,22.6,39.6
252,2021-4-30 3:55:0,22.5,39.5
253,2021-4-30 4:0:0,22.5,39.7
254,2021-4-30 4:5:0,22.5,39.7
255,2021-4-30 4:10:0,22.5,39.7
256,2021-4-30 4:15:0,22.5,39.7
257,2021-4-30 4:20:0,22.5,39.6
258,2021-4-30 4:25:0,22.5,39.5
259,2021-4-30 4:30:0,22.5,39.5
260,2021-4-30 4:35:0,22.5,39.6
261,2021-4-30 4:40:0,22.5,39.4
262,2021-4-30 4:45:0,22.5,39.5
263,2021-4-30 4:50:0,22.5,39.5
264,2021-4-30 4:55:0,22.5,39.8
265,2021-4-30 5:0:0,22.5,39.7
266,2021-4-30 5:5:0,22.4,39.7
267,2021-4-30 5:10:0,22.4,39.6
268,2021-4-30 5:15:0,22.4,39.6
269,2021-4-30 5:20:0,22.4,39.6
270,2021-4-30 5:25:0,22.4,39.6
271,2021-4-30 5:30:0,22.4,39.7
272,2021-4-30 5:35:0,22.4,39.7
273,2021-4-30 5:40:0,22.4,39.6
274,2021-4-30 5:45:0,22.4,39.7
275,2021-4-30 5:50:0,22.4,39.7
276,2021-4-30 5:55:0,22.4,39.5
277,2021-4-30 6:0:0,22.4,39.6
278,2021-4-30 6:5:0,22.4,39.7
279,2021-4-30 6:10:0,22.4,39.7
280,2021-4-30 6:15:0,22.4,39.7
281,2021-4-30 6:20:0,22.4,39.7
282,2021-4-30 6:25:0,22.4,39.7
283,2021-4-30 6:30:0,22.3,39.7
284,2021-4-30 6:35:0,22.3,39.6
285,2021-4-30 6:40:0,22.3,39.6
286,2021-4-30 6:45:0,22.3,39.6
287,2021-4-30 6:50:0,22.3,39.5
288,2021-4-30 6:55:0,22.3,39.8
289,2021-4-30 7:0:0,22.3,39.8
290,2021-4-30 7:5:0,22.3,39.8
291,2021-4-30 7:10:0,22.3,39.6
292,2021-4-30 7:15:0,22.3,39.7
293,2021-4-30 7:20:0,22.3,39.8
294,2021-4-30 7:25:0,22.3,39.8
295,2021-4-30 7:30:0,22.3,40
296,2021-4-30 7:35:0,22.3,40
297,2021-4-30 7:40:0,22.3,40
298,2021-4-30 7:45:0,22.3,39.9
299,2021-4-30 7:50:0,22.2,39.9
300,2021-4-30 7:55:0,22.2,39.9
301,2021-4-30 8:0:0,22.2,39.9
302,2021-4-30 8:5:0,22.2,40
303,2021-4-30 8:10:0,22.2,40.1
304,2021-4-30 8:15:0,22.2,40
305,2021-4-30 8:20:0,22.2,40
306,2021-4-30 8:25:0,22.2,40.2
307,2021-4-30 8:30:0,22.2,40.2
308,2021-4-30 8:35:0,22.2,40.2
309,2021-4-30 8:40:0,22.2,40.5
310,2021-4-30 8:45:0,22.2,40.5
311,2021-4-30 8:50:0,21.9,41
312,2021-4-30 8:55:0,21.9,48.1
313,2021-4-30 9:0:0,22.4,47.5
314,2021-4-30 9:5:0,23,51.7
315,2021-4-30 9:10:0,23.6,52.6
316,2021-4-30 9:15:0,24.2,53.2
317,2021-4-30 9:20:0,24.6,48.5
318,2021-4-30 9:25:0,25.1,56.6
319,2021-4-30 9:30:0,25.5,50
320,2021-4-30 9:35:0,25.7,52.3
321,2021-4-30 9:40:0,26,51.6
322,2021-4-30 9:45:0,26.1,47.3
323,2021-4-30 9:50:0,26.2,56
324,2021-4-30 9:55:0,26.3,49.1
325,2021-4-30 10:0:0,26.4,46.2
326,2021-4-30 10:5:0,26.5,54
327,2021-4-30 10:10:0,26.6,48.7
328,2021-4-30 10:15:0,26.6,46
329,2021-4-30 10:20:0,26.7,52.1
330,2021-4-30 10:25:0,26.8,48.6
331,2021-4-30 10:30:0,26.8,45.6
332,2021-4-30 10:35:0,26.9,52.8
333,2021-4-30 10:40:0,26.9,48.2
334,2021-4-30 10:45:0,26.9,45.2
335,2021-4-30 10:50:0,27,52.4
336,2021-4-30 10:55:0,27.1,48.9
337,2021-4-30 11:0:0,27.1,45.9
338,2021-4-30 11:5:0,27.1,44
339,2021-4-30 11:10:0,27.1,50.3
340,2021-4-30 11:15:0,27.2,46.1
341,2021-4-30 11:20:0,27.1,45.2
342,2021-4-30 11:25:0,27.2,49.6
343,2021-4-30 11:30:0,26.8,42.5
344,2021-4-30 11:35:0,24.7,38.4
