1号记录仪温湿度记录表
序号,时间(单位:秒),温度(单位:℃),湿度(单位:RH%)
1,2021-4-29 7:0:0,21.3,43.6
2,2021-4-29 7:5:0,21.4,43.6
3,2021-4-29 7:10:0,21.4,43.1
4,2021-4-29 7:15:0,21.6,42.8
5,2021-4-29 7:20:0,26.8,35.3
6,2021-4-29 7:25:0,24.9,40.3
7,2021-4-29 7:30:0,24.3,49.9
8,2021-4-29 7:35:0,24.3,47.2
9,2021-4-29 7:40:0,24.6,53
10,2021-4-29 7:45:0,24.8,49.7
11,2021-4-29 7:50:0,25.2,54.9
12,2021-4-29 7:55:0,25.5,49.4
13,2021-4-29 8:0:0,25.7,57.3
14,2021-4-29 8:5:0,25.8,49.9
15,2021-4-29 8:10:0,25.9,51.6
16,2021-4-29 8:15:0,26.1,51.6
17,2021-4-29 8:20:0,26.2,47.1
18,2021-4-29 8:25:0,26.3,53.5
19,2021-4-29 8:30:0,26.4,47.7
20,2021-4-29 8:35:0,26.6,51.5
21,2021-4-29 8:40:0,26.7,49.1
22,2021-4-29 8:45:0,26.7,45.5
23,2021-4-29 8:50:0,26.9,51.6
24,2021-4-29 8:55:0,26.9,46.3
25,2021-4-29 9:0:0,27,50.7
26,2021-4-29 9:5:0,27.1,46
27,2021-4-29 9:10:0,27.1,47.9
28,2021-4-29 9:15:0,27.1,47.9
29,2021-4-29 9:20:0,27,44.9
30,2021-4-29 9:25:0,27.1,49.4
31,2021-4-29 9:30:0,27.1,44.1
32,2021-4-29 9:35:0,27.2,49.7
33,2021-4-29 9:40:0,27.2,44.5
34,2021-4-29 9:45:0,27.1,52.1
35,2021-4-29 9:50:0,27.2,45.3
36,2021-4-29 9:55:0,27.2,51.3
37,2021-4-29 10:0:0,27.2,46.1
38,2021-4-29 10:5:0,27.2,45.7
39,2021-4-29 10:10:0,27.3,47.2
40,2021-4-29 10:15:0,27.3,43.5
41,2021-4-29 10:20:0,27.3,49.7
42,2021-4-29 10:25:0,27.4,44.4
43,2021-4-29 10:30:0,27.4,49.3
44,2021-4-29 10:35:0,27.5,46.5
45,2021-4-29 10:40:0,27.5,43.5
46,2021-4-29 10:45:0,27.5,51.4
47,2021-4-29 10:50:0,27.5,45.2
48,2021-4-29 10:55:0,27.5,44.7
49,2021-4-29 11:0:0,27.6,47.1
50,2021-4-29 11:5:0,27.6,42.7
51,2021-4-29 11:10:0,27.6,49.8
52,2021-4-29 11:15:0,27.6,44.2
53,2021-4-29 11:20:0,27.6,48.7
54,2021-4-29 11:25:0,27.6,45.6
55,2021-4-29 11:30:0,27.7,42.8
56,2021-4-29 11:35:0,27.6,47.6
57,2021-4-29 11:40:0,27.6,42.3
58,2021-4-29 11:45:0,27.6,48.6
59,2021-4-29 11:50:0,27.6,43.1
60,2021-4-29 11:55:0,27.6,51.7
61,2021-4-29 12:0:0,27.5,43.9
62,2021-4-29 12:5:0,27.5,50.5
63,2021-4-29 12:10:0,27.5,44
64,2021-4-29 12:15:0,27.5,50.4
65,2021-4-29 12:20:0,27.5,43.9
66,2021-4-29 12:25:0,27.5,50
67,2021-4-29 12:30:0,27.5,44.8
68,2021-4-29 12:35:0,27.5,49.1
69,2021-4-29 12:40:0,27.5,44.7
70,2021-4-29 12:45:0,27.5,49.2
71,2021-4-29 12:50:0,27.5,44.6
72,2021-4-29 12:55:0,27.5,50.1
73,2021-4-29 13:0:0,27.5,44.5
74,2021-4-29 13:5:0,27.5,50.3
75,2021-4-29 13:10:0,27.5,44
76,2021-4-29 13:15:0,27.5,50.8
77,2021-4-29 13:20:0,27.5,43.9
78,2021-4-29 13:25:0,27.5,51.4
79,2021-4-29 13:30:0,27.5,43.6
80,2021-4-29 13:35:0,27.5,50.9
81,2021-4-29 13:40:0,27.5,44
82,2021-4-29 13:45:0,27.5,51.1
83,2021-4-29 13:50:0,27.5,43.6
84,2021-4-29 13:55:0,27.5,51.5
85,2021-4-29 14:0:0,27.5,43.4
86,2021-4-29 14:5:0,27.5,51.5
87,2021-4-29 14:10:0,27.5,43.2
88,2021-4-29 14:15:0,27.5,51.8
89,2021-4-29 14:20:0,27.5,43.6
90,2021-4-29 14:25:0,27.5,51.5
91,2021-4-29 14:30:0,27.5,43.8
92,2021-4-29 14:35:0,27.5,51.6
93,2021-4-29 14:40:0,27.5,44.3
94,2021-4-29 14:45:0,27.6,51.2
95,2021-4-29 14:50:0,27.6,44.4
96,2021-4-29 14:55:0,27.7,49.3
97,2021-4-29 15:0:0,27.7,45.3
98,2021-4-29 15:5:0,27.7,48.6
99,2021-4-29 15:10:0,27.7,44.6
100,2021-4-29 15:15:0,27.7,47.5
101,2021-4-29 15:20:0,27.7,45.5
102,2021-4-29 15:25:0,27.7,44.8
103,2021-4-29 15:30:0,27.7,46.6
104,2021-4-29 15:35:0,27.7,44.4
105,2021-4-29 15:40:0,27.8,46.1
106,2021-4-29 15:45:0,27.8,46
107,2021-4-29 15:50:0,27.8,46.3
108,2021-4-29 15:55:0,27.7,44.7
109,2021-4-29 16:0:0,27.7,46.6
110,2021-4-29 16:5:0,27.6,43.1
111,2021-4-29 16:10:0,27.6,48.4
112,2021-4-29 16:15:0,27.6,42.6
113,2021-4-29 16:20:0,27.6,49.6
114,2021-4-29 16:25:0,27.6,42.9
115,2021-4-29 16:30:0,27.6,51.2
116,2021-4-29 16:35:0,27.6,43.7
117,2021-4-29 16:40:0,27.6,50.5
118,2021-4-29 16:45:0,27.6,45.2
119,2021-4-29 16:50:0,27.5,47.9
120,2021-4-29 16:55:0,27.5,45.8
121,2021-4-29 17:0:0,27.5,45.4
122,2021-4-29 17:5:0,27.6,47.1
123,2021-4-29 17:10:0,27.5,45
124,2021-4-29 17:15:0,27.6,47.2
125,2021-4-29 17:20:0,27.6,42.6
126,2021-4-29 17:25:0,27.6,48.9
127,2021-4-29 17:30:0,27.6,43.4
128,2021-4-29 17:35:0,27.7,51.1
129,2021-4-29 17:40:0,27.7,43.1
130,2021-4-29 17:45:0,27.6,50.9
131,2021-4-29 17:50:0,27.3,44
132,2021-4-29 17:55:0,26.7,41.4
133,2021-4-29 18:0:0,26.1,40.2
134,2021-4-29 18:5:0,25.5,39.4
135,2021-4-29 18:10:0,24.9,39
136,2021-4-29 18:15:0,24.4,38.7
137,2021-4-29 18:20:0,24.1,38.2
138,2021-4-29 18:25:0,23.8,40.5
139,2021-4-29 18:30:0,23.6,41.8
140,2021-4-29 18:35:0,23.5,40
141,2021-4-29 18:40:0,23.2,39.1
142,2021-4-29 18:45:0,23.2,39.1
143,2021-4-29 18:50:0,23.4,38.9
144,2021-4-29 18:55:0,23.5,38.8
145,2021-4-29 19:0:0,23.6,38.8
146,2021-4-29 19:5:0,23.6,38.9
147,2021-4-29 19:10:0,23.6,38.9
148,2021-4-29 19:15:0,23.6,39
149,2021-4-29 19:20:0,23.6,39.1
150,2021-4-29 19:25:0,23.6,39.1
151,2021-4-29 19:30:0,23.6,39.2
152,2021-4-29 19:35:0,23.6,39.2
153,2021-4-29 19:40:0,23.6,39.2
154,2021-4-29 19:45:0,23.5,39.2
155,2021-4-29 19:50:0,23.5,39.1
156,2021-4-29 19:55:0,23.5,39.1
157,2021-4-29 20:0:0,23.5,39.2
158,2021-4-29 20:5:0,23.5,39.2
159,2021-4-29 20:10:0,23.5,39.2
160,2021-4-29 20:15:0,23.5,39.1
161,2021-4-29 20:20:0,23.5,39.1
162,2021-4-29 20:25:0,23.5,39.2
163,2021-4-29 20:30:0,23.5,39.1
164,2021-4-29 20:35:0,23.5,39.2
165,2021-4-29 20:40:0,23.5,39.2
166,2021-4-29 20:45:0,23.5,39.2
167,2021-4-29 20:50:0,23.5,39.2
168,2021-4-29 20:55:0,23.5,39.1
169,2021-4-29 21:0:0,23.5,39.1
170,2021-4-29 21:5:0,23.5,39.1
171,2021-4-29 21:10:0,23.4,39.1
172,2021-4-29 21:15:0,23.4,39.1
173,2021-4-29 21:20:0,23.4,39
174,2021-4-29 21:25:0,23.4,39
175,2021-4-29 21:30:0,23.4,39
176,2021-4-29 21:35:0,23.4,39
177,2021-4-29 21:40:0,23.4,39
178,2021-4-29 21:45:0,23.4,38.9
179,2021-4-29 21:50:0,23.4,38.9
180,2021-4-29 21:55:0,23.4,38.9
181,2021-4-29 22:0:0,23.4,38.9
182,2021-4-29 22:5:0,23.4,38.8
183,2021-4-29 22:10:0,23.4,38.8
184,2021-4-29 22:15:0,23.4,38.8
185,2021-4-29 22:20:0,23.4,38.8
186,2021-4-29 22:25:0,23.4,38.7
187,2021-4-29 22:30:0,23.4,38.8
188,2021-4-29 22:35:0,23.3,38.7
189,2021-4-29 22:40:0,23.3,38.7
190,2021-4-29 22:45:0,23.3,38.7
191,2021-4-29 22:50:0,23.3,38.7
192,2021-4-29 22:55:0,23.3,38.6
193,2021-4-29 23:0:0,23.3,38.6
194,2021-4-29 23:5:0,23.3,38.5
195,2021-4-29 23:10:0,23.3,38.5
196,2021-4-29 23:15:0,23.3,38.5
197,2021-4-29 23:20:0,23.3,38.4
198,2021-4-29 23:25:0,23.3,38.4
199,2021-4-29 23:30:0,23.3,38.4
200,2021-4-29 23:35:0,23.3,38.4
201,2021-4-29 23:40:0,23.3,38.3
202,2021-4-29 23:45:0,23.2,38.3
203,2021-4-29 23:50:0,23.2,38.3
204,2021-4-29 23:55:0,23.2,38.2
205,2021-4-30 0:0:0,23.2,38.2
206,2021-4-30 0:5:0,23.2,38.2
207,2021-4-30 0:10:0,23.2,38.2
208,2021-4-30 0:15:0,23.2,38.1
209,2021-4-30 0:20:0,23.2,38.1
210,2021-4-30 0:25:0,23.2,38.1
211,2021-4-30 0:30:0,23.2,38.1
212,2021-4-30 0:35:0,23.2,38.1
213,2021-4-30 0:40:0,23.2,38.1
214,2021-4-30 0:45:0,23.2,38.1
215,2021-4-30 0:50:0,23.1,38.1
216,2021-4-30 0:55:0,23.1,38.1
