1号记录仪温湿度记录表
序号,时间(单位:秒),温度(单位:℃),湿度(单位:RH%)
217,2021-4-30 1:0:0,23.1,38.1
218,2021-4-30 1:5:0,23.1,38.1
219,2021-4-30 1:10:0,23.1,38.1
220,2021-4-30 1:15:0,23.1,38.1
221,2021-4-30 1:20:0,23.1,38.1
222,2021-4-30 1:25:0,23.1,38.1
223,2021-4-30 1:30:0,23.1,38.1
224,2021-4-30 1:35:0,23.1,38.1
225,2021-4-30 1:40:0,23.1,38.1
226,2021-4-30 1:45:0,23.1,38.1
227,2021-4-30 1:50:0,23.1,38.1
228,2021-4-30 1:55:0,23.1,38.1
229,2021-4-30 2:0:0,23,38.1
230,2021-4-30 2:5:0,23,38.1
231,2021-4-30 2:10:0,23,38.1
232,2021-4-30 2:15:0,23,38.1
233,2021-4-30 2:20:0,23,38.1
234,2021-4-30 2:25:0,23,38.1
235,2021-4-30 2:30:0,23,38.1
236,2021-4-30 2:35:0,23,38
237,2021-4-30 2:40:0,23,38.1
238,2021-4-30 2:45:0,23,38.1
239,2021-4-30 2:50:0,23,38.1
240,2021-4-30 2:55:0,22.9,38.1
241,2021-4-30 3:0:0,22.9,38.1
242,2021-4-30 3:5:0,22.9,38.1
243,2021-4-30 3:10:0,22.9,38.1
244,2021-4-30 3:15:0,22.9,38.1
245,2021-4-30 3:20:0,22.9,38.1
246,2021-4-30 3:25:0,22.9,38.1
247,2021-4-30 3:30:0,22.9,38.1
248,2021-4-30 3:35:0,22.9,38.1
249,2021-4-30 3:40:0,22.9,38.1
250,2021-4-30 3:45:0,22.9,38.1
251,2021-4-30 3:50:0,22.9,38.1
252,2021-4-30 3:55:0,22.9,38.1
253,2021-4-30 4:0:0,22.9,38
254,2021-4-30 4:5:0,22.9,38.1
255,2021-4-30 4:10:0,22.8,38.1
256,2021-4-30 4:15:0,22.8,38
257,2021-4-30 4:20:0,22.8,38.1
258,2021-4-30 4:25:0,22.8,38
259,2021-4-30 4:30:0,22.8,38
260,2021-4-30 4:35:0,22.8,38
261,2021-4-30 4:40:0,22.8,38
262,2021-4-30 4:45:0,22.8,38
263,2021-4-30 4:50:0,22.8,38
264,2021-4-30 4:55:0,22.8,38
265,2021-4-30 5:0:0,22.8,38
266,2021-4-30 5:5:0,22.8,38
267,2021-4-30 5:10:0,22.8,38.1
268,2021-4-30 5:15:0,22.8,38.1
269,2021-4-30 5:20:0,22.8,38
270,2021-4-30 5:25:0,22.8,38
271,2021-4-30 5:30:0,22.7,38
272,2021-4-30 5:35:0,22.7,38
273,2021-4-30 5:40:0,22.7,38
274,2021-4-30 5:45:0,22.7,38
275,2021-4-30 5:50:0,22.7,38.1
276,2021-4-30 5:55:0,22.7,38.1
277,2021-4-30 6:0:0,22.7,38
278,2021-4-30 6:5:0,22.7,38
279,2021-4-30 6:10:0,22.7,38
280,2021-4-30 6:15:0,22.7,38
281,2021-4-30 6:20:0,22.7,38
282,2021-4-30 6:25:0,22.7,38
283,2021-4-30 6:30:0,22.7,38
284,2021-4-30 6:35:0,22.7,38
285,2021-4-30 6:40:0,22.7,38
286,2021-4-30 6:45:0,22.6,38
287,2021-4-30 6:50:0,22.6,38
288,2021-4-30 6:55:0,22.6,38
289,2021-4-30 7:0:0,22.6,38.1
290,2021-4-30 7:5:0,22.6,38.1
291,2021-4-30 7:10:0,22.6,38.1
292,2021-4-30 7:15:0,22.6,38.1
293,2021-4-30 7:20:0,22.6,38.1
294,2021-4-30 7:25:0,22.6,38.1
295,2021-4-30 7:30:0,22.6,38.2
296,2021-4-30 7:35:0,22.6,38.2
297,2021-4-30 7:40:0,22.6,38.2
298,2021-4-30 7:45:0,22.6,38.2
299,2021-4-30 7:50:0,22.6,38.3
300,2021-4-30 7:55:0,22.6,38.3
301,2021-4-30 8:0:0,22.6,38.3
302,2021-4-30 8:5:0,22.5,38.3
303,2021-4-30 8:10:0,22.5,38.4
304,2021-4-30 8:15:0,22.5,38.4
305,2021-4-30 8:20:0,22.5,38.4
306,2021-4-30 8:25:0,22.5,38.5
307,2021-4-30 8:30:0,22.5,38.4
308,2021-4-30 8:35:0,22.5,38.5
309,2021-4-30 8:40:0,22.5,38.5
310,2021-4-30 8:45:0,22.5,38.6
311,2021-4-30 8:50:0,22.3,39.8
312,2021-4-30 8:55:0,22.4,46.5
313,2021-4-30 9:0:0,22.6,45.1
314,2021-4-30 9:5:0,22.9,51.4
315,2021-4-30 9:10:0,23.3,51
316,2021-4-30 9:15:0,23.8,54.2
317,2021-4-30 9:20:0,24.2,49.7
318,2021-4-30 9:25:0,24.6,58.1
319,2021-4-30 9:30:0,24.9,51.7
320,2021-4-30 9:35:0,25.2,52.4
321,2021-4-30 9:40:0,25.4,53.1
322,2021-4-30 9:45:0,25.6,48.7
323,2021-4-30 9:50:0,25.8,55.4
324,2021-4-30 9:55:0,25.9,50.3
325,2021-4-30 10:0:0,26,47.2
326,2021-4-30 10:5:0,26.2,54.2
327,2021-4-30 10:10:0,26.3,49.6
328,2021-4-30 10:15:0,26.4,46.9
329,2021-4-30 10:20:0,26.5,50.9
330,2021-4-30 10:25:0,26.6,49.3
331,2021-4-30 10:30:0,26.7,46.1
332,2021-4-30 10:35:0,26.7,51.1
333,2021-4-30 10:40:0,26.8,48.5
334,2021-4-30 10:45:0,26.9,45.6
335,2021-4-30 10:50:0,26.9,50.1
336,2021-4-30 10:55:0,27,48.9
337,2021-4-30 11:0:0,27,46.1
338,2021-4-30 11:5:0,27,43.9
339,2021-4-30 11:10:0,27.1,50
340,2021-4-30 11:15:0,27.1,46.1
341,2021-4-30 11:20:0,27.1,44.4
342,2021-4-30 11:25:0,27.2,49.2
343,2021-4-30 11:30:0,27,41.7
344,2021-4-30 11:35:0,24,39.5
