"  DateTime","Temp.[C]"
"2021/4/30 9:43:01","+21.5800"
"2021/4/30 9:43:21","+21.5800"
"2021/4/30 9:43:41","+21.5800"
"2021/4/30 9:44:01","+21.5800"
"2021/4/30 9:44:21","+21.5800"
"2021/4/30 9:44:41","+21.5800"
"2021/4/30 9:45:01","+21.5800"
"2021/4/30 9:45:21","+21.5800"
"2021/4/30 9:45:41","+21.5800"
"2021/4/30 9:46:01","+21.5800"
"2021/4/30 9:46:21","+21.6425"
"2021/4/30 9:46:41","+21.6425"
"2021/4/30 9:47:01","+21.6425"
"2021/4/30 9:47:21","+21.6425"
"2021/4/30 9:47:41","+21.6425"
"2021/4/30 9:48:01","+21.6425"
"2021/4/30 9:48:21","+21.6425"
"2021/4/30 9:48:41","+21.6425"
"2021/4/30 9:49:01","+21.6425"
"2021/4/30 9:49:21","+21.6425"
"2021/4/30 9:49:41","+21.6425"
"2021/4/30 9:50:01","+21.6425"
"2021/4/30 9:50:21","+21.6425"
"2021/4/30 9:50:41","+21.6425"
"2021/4/30 9:51:01","+21.6425"
"2021/4/30 9:51:21","+21.6425"
"2021/4/30 9:51:41","+21.6425"
"2021/4/30 9:52:01","+21.6425"
"2021/4/30 9:52:21","+21.6425"
"2021/4/30 9:52:41","+21.7051"
"2021/4/30 9:53:01","+21.7051"
"2021/4/30 9:53:21","+21.7051"
"2021/4/30 9:53:41","+21.7051"
"2021/4/30 9:54:01","+21.7051"
"2021/4/30 9:54:21","+21.7051"
"2021/4/30 9:54:41","+21.7051"
"2021/4/30 9:55:01","+21.7051"
"2021/4/30 9:55:21","+21.7051"
"2021/4/30 9:55:41","+21.7051"
"2021/4/30 9:56:01","+21.7051"
"2021/4/30 9:56:21","+21.7051"
"2021/4/30 9:56:41","+21.7051"
"2021/4/30 9:57:01","+21.7051"
"2021/4/30 9:57:21","+21.7051"
"2021/4/30 9:57:41","+21.7051"
"2021/4/30 9:58:01","+21.7051"
"2021/4/30 9:58:21","+21.7051"
"2021/4/30 9:58:41","+21.7677"
"2021/4/30 9:59:01","+21.7677"
"2021/4/30 9:59:21","+21.7677"
"2021/4/30 9:59:41","+21.7677"
"2021/4/30 10:00:01","+21.7677"
"2021/4/30 10:00:21","+21.7677"
"2021/4/30 10:00:41","+21.8928"
"2021/4/30 10:01:01","+22.0179"
"2021/4/30 10:01:21","+22.0804"
"2021/4/30 10:01:41","+22.2055"
"2021/4/30 10:02:01","+22.2681"
"2021/4/30 10:02:21","+22.3932"
"2021/4/30 10:02:41","+22.4557"
"2021/4/30 10:03:01","+22.5183"
"2021/4/30 10:03:21","+22.5808"
"2021/4/30 10:03:41","+22.6434"
"2021/4/30 10:04:01","+22.7059"
"2021/4/30 10:04:21","+22.7684"
"2021/4/30 10:04:41","+22.8310"
"2021/4/30 10:05:01","+22.8935"
"2021/4/30 10:05:21","+22.9561"
"2021/4/30 10:05:41","+22.9561"
"2021/4/30 10:06:01","+23.0186"
"2021/4/30 10:06:21","+23.0811"
"2021/4/30 10:06:41","+23.0811"
"2021/4/30 10:07:01","+23.1437"
"2021/4/30 10:07:21","+23.2062"
"2021/4/30 10:07:41","+23.3313"
"2021/4/30 10:08:01","+23.4564"
"2021/4/30 10:08:21","+23.5814"
"2021/4/30 10:08:41","+23.6440"
"2021/4/30 10:09:01","+23.7065"
